kernel,shape,M,N,K,variant,ms,gflops,occMaxThreads,sharedBytes,wgSize,golden
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x2_BK16,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,6144,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x2_BK32,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,12288,256,PASS
regGen,QKV-KV,262,1024,2816,TM4xTN4_sg4x2_BK64,1.400000,1079.284297,maxThreads=1024 execWidth=32 tgMem=0,24576,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN1_sg4x2_BK32,1.033333,1462.256145,maxThreads=1024 execWidth=32 tgMem=0,17408,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg4x2_BK16,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,9216,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN2_sg4x2_BK32,1.533333,985.433489,maxThreads=1024 execWidth=32 tgMem=0,18432,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg4x2_BK16,1.233333,1225.133526,maxThreads=1024 execWidth=32 tgMem=0,10240,256,PASS
regGen,QKV-KV,262,1024,2816,TM8xTN4_sg4x2_BK32,1.933333,781.550698,maxThreads=1024 execWidth=32 tgMem=0,20480,256,PASS
regGen,dense-gu,262,2112,2816,TM1xTN1_sg1x1_BK16,0.933333,3339.035794,maxThreads=1024 execWidth=32 tgMem=0,512,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN1_sg1x1_BK32,0.733333,4249.681920,maxThreads=1024 execWidth=32 tgMem=0,1024,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN1_sg1x1_BK64,0.833333,3739.720090,maxThreads=1024 execWidth=32 tgMem=0,2048,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN2_sg1x1_BK16,0.600000,5194.055680,maxThreads=1024 execWidth=32 tgMem=0,768,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN2_sg1x1_BK32,0.666667,4674.650112,maxThreads=1024 execWidth=32 tgMem=0,1536,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN2_sg1x1_BK64,1.000000,3116.433408,maxThreads=1024 execWidth=32 tgMem=0,3072,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN4_sg1x1_BK16,0.566667,5499.588367,maxThreads=1024 execWidth=32 tgMem=0,1280,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN4_sg1x1_BK32,0.966667,3223.896629,maxThreads=1024 execWidth=32 tgMem=0,2560,32,PASS
regGen,dense-gu,262,2112,2816,TM1xTN4_sg1x1_BK64,2.400000,1298.513920,maxThreads=1024 execWidth=32 tgMem=0,5120,32,PASS
regGen,dense-gu,262,2112,2816,TM2xTN1_sg1x1_BK16,1.000000,3116.433408,maxThreads=1024 execWidth=32 tgMem=0,768,32,PASS
